selection,mutation,pop_size,gens,time,best_pop
offspring,0.2,50,500,47.38394832611084,3468740.90336
offspring,adaptive,5,50,0.14348578453063965,4992578.7769
offspring,adaptive,5,100,0.3029801845550537,4999997.28415
offspring,adaptive,5,150,0.42766237258911133,4999999.99618
offspring,adaptive,5,200,0.5732617378234863,4999999.99735
offspring,adaptive,5,250,0.716529130935669,5000000.0
offspring,adaptive,5,300,0.8552296161651611,5000000.0
offspring,adaptive,5,350,0.9998188018798828,4999999.99257
offspring,adaptive,5,400,1.1406245231628418,5000000.0
offspring,adaptive,5,450,1.2748517990112305,5000000.0
offspring,adaptive,5,500,1.411113977432251,5000000.0
offspring,adaptive,10,50,0.2872946262359619,4999997.45403
offspring,adaptive,10,100,0.5750007629394531,4999999.99995
offspring,adaptive,10,150,0.944819450378418,4999999.99281
offspring,adaptive,10,200,1.1323776245117188,4999999.98886
offspring,adaptive,10,250,1.414412021636963,5000000.0
offspring,adaptive,10,300,3.373044013977051,5000000.0
offspring,adaptive,10,350,1.9823641777038574,5000000.0
offspring,adaptive,10,400,2.260627031326294,5000000.0
offspring,adaptive,10,450,2.587723970413208,5000000.0
offspring,adaptive,10,500,2.828150510787964,5000000.0
offspring,adaptive,15,50,0.43262267112731934,4999770.08689
offspring,adaptive,15,100,0.8603973388671875,4999999.99999
offspring,adaptive,15,150,1.282475471496582,5000000.0
offspring,adaptive,15,200,1.7105839252471924,5000000.0
offspring,adaptive,15,250,2.1391828060150146,5000000.0
offspring,adaptive,15,300,2.5422308444976807,5000000.0
offspring,adaptive,15,350,2.9659464359283447,5000000.0
offspring,adaptive,15,400,3.390411138534546,5000000.0
offspring,adaptive,15,450,3.8080413341522217,5000000.0
offspring,adaptive,15,500,4.262804269790649,5000000.0
offspring,adaptive,20,50,0.5826418399810791,4999999.77313
offspring,adaptive,20,100,1.2156784534454346,4999999.99869
offspring,adaptive,20,150,1.7135114669799805,5000000.0
offspring,adaptive,20,200,2.2843587398529053,5000000.0
offspring,adaptive,20,250,2.8467628955841064,5000000.0
offspring,adaptive,20,300,3.4063291549682617,5000000.0
offspring,adaptive,20,350,3.9678988456726074,5000000.0
offspring,adaptive,20,400,4.592818021774292,5000000.0
offspring,adaptive,20,450,5.113116979598999,5000000.0
offspring,adaptive,20,500,5.724285125732422,5000000.0
offspring,adaptive,25,50,0.7338950634002686,4999999.96893
offspring,adaptive,25,100,1.4672207832336426,5000000.0
offspring,adaptive,25,150,2.1851468086242676,5000000.0
offspring,adaptive,25,200,2.850647449493408,5000000.0
offspring,adaptive,25,250,3.5656917095184326,5000000.0
offspring,adaptive,25,300,4.253548622131348,5000000.0
offspring,adaptive,25,350,4.954487085342407,5000000.0
offspring,adaptive,25,400,5.817744731903076,5000000.0
offspring,adaptive,25,450,6.3591673374176025,5000000.0
offspring,adaptive,25,500,7.163264513015747,5000000.0
offspring,adaptive,30,50,0.8947768211364746,4999999.99014
offspring,adaptive,30,100,1.723984956741333,5000000.0
offspring,adaptive,30,150,2.670527935028076,5000000.0
offspring,adaptive,30,200,3.4238052368164062,5000000.0
offspring,adaptive,30,250,4.265423774719238,5000000.0
offspring,adaptive,30,300,5.119843244552612,5000000.0
offspring,adaptive,30,350,5.944566965103149,5000000.0
offspring,adaptive,30,400,6.856209754943848,5000000.0
offspring,adaptive,30,450,7.635734558105469,5000000.0
offspring,adaptive,30,500,8.501987218856812,5000000.0
offspring,adaptive,35,50,1.1067354679107666,4999999.98401
offspring,adaptive,35,100,2.0226426124572754,5000000.0
offspring,adaptive,35,150,3.0284833908081055,5000000.0
offspring,adaptive,35,200,4.001520872116089,5000000.0
offspring,adaptive,35,250,5.031346797943115,5000000.0
offspring,adaptive,35,300,5.983345031738281,5000000.0
offspring,adaptive,35,350,6.959749937057495,5000000.0
offspring,adaptive,35,400,7.998674154281616,5000000.0
offspring,adaptive,35,450,8.916904926300049,5000000.0
offspring,adaptive,35,500,9.913615942001343,5000000.0
offspring,adaptive,40,50,1.1493492126464844,4999999.9298
offspring,adaptive,40,100,2.290989875793457,5000000.0
offspring,adaptive,40,150,3.4461889266967773,5000000.0
offspring,adaptive,40,200,4.540771961212158,5000000.0
offspring,adaptive,40,250,5.693345546722412,5000000.0
